Id,Val
0_0,0
0_1,0
0_2,0
0_3,12
0_4,0
0_5,0
0_6,2
0_7,0
0_8,0
0_9,0
0_10,0
0_11,0
0_12,0
0_13,0
0_14,0
0_15,0
0_16,0
0_17,0
0_18,0
0_19,0
0_20,0
0_21,0
0_22,0
0_23,0
0_24,0
0_25,0
0_26,0
0_27,0
0_28,0
0_29,0
0_30,0
0_31,0
0_32,0
0_33,0
0_34,0
0_35,0
0_36,0
0_37,0
0_38,0
0_39,0
0_40,0
0_41,0
0_42,0
0_43,0
0_44,0
0_45,0
0_46,0
0_47,0
0_48,0
0_49,0
0_50,0
0_51,0
0_52,0
0_53,0
0_54,0
0_55,0
0_56,0
0_57,0
0_58,0
0_59,0
0_60,0
0_61,0
0_62,0
0_63,0
0_64,0
0_65,0
0_66,0
0_67,0
0_68,2
0_69,0
0_70,0
0_71,1
0_72,52
0_73,51
0_74,45
0_75,0
0_76,0
0_77,0
0_78,0
0_79,0
0_80,0
0_81,0
0_82,0
0_83,22
0_84,9
0_85,2
0_86,0
0_87,0
0_88,0
0_89,0
0_90,0
0_91,0
0_92,0
0_93,0
0_94,0
0_95,0
0_96,24
0_97,172
0_98,220
0_99,252
0_100,195
0_101,160
0_102,9
0_103,0
0_104,0
0_105,0
0_106,0
0_107,0
0_108,0
0_109,0
0_110,0
0_111,0
0_112,0
0_113,0
0_114,0
0_115,0
0_116,0
0_117,0
0_118,0
0_119,0
0_120,0
0_121,0
0_122,0
0_123,29
0_124,185
0_125,252
0_126,223
0_127,214
0_128,198
0_129,154
0_130,4
0_131,0
0_132,0
0_133,0
0_134,0
0_135,0
0_136,0
0_137,0
0_138,0
0_139,0
0_140,0
0_141,0
0_142,0
0_143,0
0_144,0
0_145,0
0_146,0
0_147,0
0_148,0
0_149,0
0_150,0
0_151,0
0_152,6
0_153,108
0_154,218
0_155,205
0_156,243
0_157,116
0_158,0
0_159,0
0_160,0
0_161,0
0_162,0
0_163,0
0_164,0
0_165,0
0_166,0
0_167,0
0_168,0
0_169,0
0_170,0
0_171,0
0_172,0
0_173,0
0_174,0
0_175,0
0_176,37
0_177,14
0_178,38
0_179,15
0_180,126
0_181,182
0_182,223
0_183,177
0_184,139
0_185,23
0_186,0
0_187,0
0_188,0
0_189,0
0_190,0
0_191,0
0_192,25
0_193,11
0_194,0
0_195,0
0_196,8
0_197,9
0_198,43
0_199,23
0_200,8
0_201,1
0_202,0
0_203,0
0_204,0
0_205,0
0_206,24
0_207,111
0_208,239
0_209,230
0_210,235
0_211,247
0_212,85
0_213,10
0_214,0
0_215,0
0_216,0
0_217,0
0_218,0
0_219,0
0_220,0
0_221,0
0_222,0
0_223,2
0_224,0
0_225,1
0_226,0
0_227,0
0_228,0
0_229,0
0_230,0
0_231,0
0_232,0
0_233,0
0_234,11
0_235,34
0_236,226
0_237,246
0_238,203
0_239,250
0_240,167
0_241,79
0_242,0
0_243,0
0_244,0
0_245,0
0_246,0
0_247,5
0_248,0
0_249,0
0_250,0
0_251,0
0_252,0
0_253,0
0_254,0
0_255,9
0_256,0
0_257,0
0_258,0
0_259,0
0_260,0
0_261,0
0_262,0
0_263,27
0_264,33
0_265,0
0_266,51
0_267,0
0_268,0
0_269,0
0_270,0
0_271,0
0_272,0
0_273,0
0_274,0
0_275,0
0_276,0
0_277,0
0_278,0
0_279,0
0_280,0
0_281,0
0_282,0
0_283,0
0_284,0
0_285,0
0_286,0
0_287,0
0_288,0
0_289,0
0_290,9
0_291,0
0_292,0
0_293,0
0_294,30
0_295,53
0_296,77
0_297,20
0_298,20
0_299,0
0_300,0
0_301,0
0_302,0
0_303,0
0_304,0
0_305,0
0_306,0
0_307,0
0_308,0
0_309,10
0_310,0
0_311,0
0_312,0
0_313,0
0_314,0
0_315,0
0_316,0
0_317,0
0_318,0
0_319,0
0_320,1
0_321,25
0_322,33
0_323,141
0_324,140
0_325,24
0_326,0
0_327,0
0_328,20
0_329,28
0_330,14
0_331,0
0_332,0
0_333,0
0_334,0
0_335,0
0_336,0
0_337,0
0_338,0
0_339,0
0_340,0
0_341,16
0_342,0
0_343,24
0_344,0
0_345,0
0_346,1
0_347,16
0_348,62
0_349,164
0_350,156
0_351,170
0_352,108
0_353,26
0_354,0
0_355,0
0_356,0
0_357,0
0_358,0
0_359,0
0_360,0
0_361,0
0_362,0
0_363,0
0_364,0
0_365,0
0_366,0
0_367,2
0_368,0
0_369,0
0_370,0
0_371,0
0_372,0
0_373,0
0_374,0
0_375,11
0_376,127
0_377,134
0_378,182
0_379,154
0_380,53
0_381,0
0_382,11
0_383,0
0_384,10
0_385,0
0_386,0
0_387,20
0_388,25
0_389,0
0_390,0
0_391,0
0_392,0
0_393,0
0_394,0
0_395,0
0_396,0
0_397,0
0_398,0
0_399,0
0_400,0
0_401,0
0_402,0
0_403,1
0_404,42
0_405,189
0_406,245
0_407,158
0_408,23
0_409,9
0_410,0
0_411,0
0_412,5
0_413,25
0_414,0
0_415,36
0_416,0
0_417,0
0_418,0
0_419,0
0_420,0
0_421,0
0_422,0
0_423,0
0_424,0
0_425,0
0_426,0
0_427,0
0_428,0
0_429,0
0_430,8
0_431,37
0_432,132
0_433,145
0_434,215
0_435,111
0_436,20
0_437,0
0_438,0
0_439,0
0_440,0
0_441,0
0_442,0
0_443,0
0_444,0
0_445,0
0_446,0
0_447,0
0_448,0
0_449,0
0_450,0
0_451,0
0_452,0
0_453,0
0_454,64
0_455,159
0_456,228
0_457,243
0_458,235
0_459,223
0_460,246
0_461,210
0_462,83
0_463,27
0_464,16
0_465,0
0_466,0
0_467,0
0_468,16
0_469,0
0_470,21
0_471,4
0_472,0
0_473,0
0_474,0
0_475,0
0_476,20
0_477,0
0_478,0
0_479,43
0_480,0
0_481,36
0_482,107
0_483,236
0_484,233
0_485,33
0_486,56
0_487,142
0_488,209
0_489,63
0_490,15
0_491,22
0_492,0
0_493,8
0_494,0
0_495,0
0_496,116
0_497,118
0_498,236
0_499,72
0_500,76
0_501,20
0_502,3
0_503,0
0_504,49
0_505,46
0_506,10
0_507,9
0_508,1
0_509,56
0_510,221
0_511,246
0_512,241
0_513,247
0_514,238
0_515,214
0_516,252
0_517,232
0_518,190
0_519,107
0_520,0
0_521,6
0_522,39
0_523,119
0_524,171
0_525,122
0_526,103
0_527,0
0_528,0
0_529,0
0_530,0
0_531,0
0_532,0
0_533,12
0_534,0
0_535,0
0_536,3
0_537,180
0_538,237
0_539,239
0_540,182
0_541,188
0_542,143
0_543,201
0_544,236
0_545,130
0_546,153
0_547,172
0_548,234
0_549,251
0_550,250
0_551,253
0_552,231
0_553,169
0_554,6
0_555,0
0_556,0
0_557,0
0_558,0
0_559,0
0_560,0
0_561,0
0_562,0
0_563,0
0_564,0
0_565,0
0_566,0
0_567,0
0_568,0
0_569,0
0_570,21
0_571,49
0_572,208
0_573,253
0_574,248
0_575,214
0_576,184
0_577,155
0_578,181
0_579,240
0_580,55
0_581,2
0_582,0
0_583,0
0_584,0
0_585,0
0_586,0
0_587,0
0_588,0
0_589,0
0_590,0
0_591,0
0_592,0
0_593,0
0_594,0
0_595,0
0_596,0
0_597,14
0_598,0
0_599,0
0_600,14
0_601,78
0_602,222
0_603,245
0_604,191
0_605,151
0_606,91
0_607,0
0_608,0
0_609,0
0_610,0
0_611,0
0_612,0
0_613,0
0_614,0
0_615,9
0_616,0
0_617,0
0_618,0
0_619,0
0_620,0
0_621,0
