id,category
1,2
2,6
3,3
4,0
5,5
6,2
7,2
8,9
9,5
10,4
11,5
12,7
13,7
14,4
15,2
16,2
17,6
18,1
19,8
20,0
21,7
22,2
23,9
24,8
25,5
26,0
27,8
28,7
29,2
30,0
31,7
32,8
33,7
34,2
35,5
36,4
37,1
38,3
39,1
40,2
41,0
42,5
43,6
44,4
45,6
46,5
47,5
48,2
49,6
50,9
51,9
52,2
53,4
54,0
55,8
56,5
57,3
58,9
59,4
60,1
61,6
62,3
63,4
64,4
65,1
66,4
67,7
68,2
69,8
70,7
71,7
72,5
73,5
74,0
75,9
76,3
77,9
78,3
79,1
80,6
81,8
82,7
83,7
84,3
85,6
86,0
87,6
88,7
89,6
90,0
91,0
92,0
93,5
94,4
95,1
96,5
97,2
98,4
99,5
100,2
101,8
102,9
103,7
104,2
105,1
106,3
107,4
108,8
109,9
110,1
111,8
112,4
113,7
114,3
115,8
116,4
117,6
118,8
119,1
120,6
121,5
122,8
123,9
124,0
125,5
126,2
127,0
128,1
129,4
130,2
131,4
132,8
133,3
134,5
135,9
136,1
137,8
138,5
139,9
140,0
141,8
142,8
143,2
144,7
145,0
146,1
147,9
148,2
149,9
150,7
151,8
152,4
153,9
154,2
155,2
156,6
157,3
158,6
159,1
160,8
161,7
162,1
163,4
164,7
165,7
166,0
167,7
168,1
169,7
170,7
171,3
172,3
173,4
174,3
175,1
176,8
177,6
178,9
179,2
180,5
181,2
182,6
183,5
184,6
185,6
186,2
187,1
188,5
189,2
190,4
191,2
192,0
193,7
194,2
195,1
196,1
197,2
198,3
199,0
200,8
201,4
202,6
203,2
204,0
205,3
206,5
207,8
208,3
209,3
210,2
211,0
212,5
213,4
214,0
215,7
216,3
217,9
218,3
219,1
220,5
221,6
222,8
223,6
224,1
225,9
226,0
227,1
228,8
229,1
230,6
231,8
232,6
233,9
234,9
235,9
236,8
237,7
238,2
239,0
240,3
241,2
242,0
243,6
244,2
245,8
246,5
247,8
248,3
249,6
250,1
251,9
252,1
253,0
254,4
255,5
256,1
257,0
258,9
259,9
260,2
261,8
262,7
263,3
264,5
265,6
266,6
267,6
268,2
269,5
270,8
271,2
272,3
273,3
274,5
275,5
276,7
277,0
278,3
279,7
280,7
281,3
282,3
283,3
284,2
285,7
286,7
287,2
288,0
289,2
290,7
291,6
292,2
293,1
294,4
295,2
296,8
297,0
298,0
299,3
300,2
301,7
302,6
303,3
304,9
305,2
306,8
307,0
308,6
309,3
310,0
311,5
312,5
313,3
314,9
315,8
316,9
317,7
318,4
319,5
320,9
321,9
322,9
323,8
324,1
325,2
326,6
327,2
328,1
329,7
330,2
331,8
332,3
333,5
334,2
335,2
336,3
337,5
338,1
339,2
340,6
341,7
342,9
343,2
344,1
345,5
346,9
347,7
348,4
349,8
350,2
351,8
352,5
353,8
354,1
355,3
356,1
357,5
358,6
359,5
